Gene,Mock,30min,90min,180min
ACSBG2,-0.11551,-0.523379,-0.0700861,1.06781
ACSF2,0.411768,0.963942,0.871088,1.0463
ACSF3,0.123066,1.39242,0.65727,1.00646
ACSL1,-0.223126,-1.05322,-0.455512,-1.16756
ACSL3,-0.776694,-1.52839,-0.776793,0.12363
ACSL4,-1.13973,-1.31122,-1.00281,-0.307252
ACSL5,0,0.206624,-0.0732612,0.0189044
ACSL6,-1.00214,-1.33637,-1.28214,-3.01219
ACSM1,0.701668,0.968505,1.17164,5.96518
ACSM2B,-0.147446,-1.29699,-0.635456,-0.654417
ACSM3,-1.2212,0.361034,-0.449086,5.49445
ACSM4,0.30506,-0.299033,0.308119,0.594276
ACSM5,-0.359851,-1.40928,-0.304151,-1.69684
ACSS1,0.212944,-0.172759,0.246413,1.66733
ACSS2,0.684489,0.349518,0.49743,-0.76701
ACSS3,-1.25524,-2.79093,-1.52669,0.198861
ACTA1,1.58572,2.6632,1.64159,2.78139
ACTA2,0.86886,0.515682,0.897917,-0.372396
ACTB,0.43918,0.983017,0.651259,0.818933
ACTBL2,-1.31537,0.175776,-0.514036,-5.10621
ACTC1,-0.0110908,0.496153,-0.0663413,-0.319512
ACTG1,0.259342,0.386956,0.345858,0.170617
ACTG2,1.61885,1.14221,1.34474,-0.259802
ACTL10,-0.361636,-2.40135,-1.88741,-0.33623
ACTL6A,-0.278603,-1.12803,-0.198976,1.20851
ACTL6B,0.284388,1.48652,0.537406,-2.70084
ACTL7A,1.19962,1.63826,2.48259,-1.86507
ACTL7B,2.25217,3.84514,2.16747,2.84522
ACTL8,2.43215,1.59832,1.155,0.381076
ACTL9,1.09707,0.375139,-0.527916,0
ACTN1,0.271776,0.252816,0.475131,1.24771
ACTN2,-0.573988,-0.0759507,-0.670524,-2.10331
ACTN3,0.499129,1.84449,0.750876,-0.692652
ACTN4,-0.213997,-0.867791,-0.25537,-0.134712
ACTR10,-0.219673,-0.630236,-0.335544,-1.55947
ACTR1A,0.104731,0.149976,0.0279425,-1.35733
ACTR1B,0.153766,0.477561,0.177918,-0.970386
ACTR2,-0.94457,-1.21235,-0.750421,0.829636
ACTR3,-0.567109,-0.827586,-0.479203,1.21691
ACTR3B,-0.280639,-1.35357,-0.261418,-0.973337
ACTR5,-0.211721,-1.03985,-0.30018,0.522401
ACTR6,-0.707411,-1.04093,-0.647397,-0.394941
ACTR8,0.100099,0.337869,0.21802,0.033115
ACTRT1,0.291083,0,0.0414752,-2.04507
ACTRT2,0.64157,-0.514268,0.114717,-1.99752
ACVR1,-0.390875,-0.578174,-0.28255,-0.937656
ACVR1B,-0.165061,-0.184625,-0.0236753,-0.708445
ACVR1C,-0.766363,-0.935885,-1.32485,-2.8477
ACVR2A,-0.664704,-1.51509,-0.780621,-1.31303
ACVR2B,-0.875166,-0.272446,-0.840351,-0.83987
ACVRL1,0.744829,0.66683,1.58094,0.373457
ACY1,0.441397,1.19162,0.650278,0.342223
ACYP1,0.487345,0.917961,0.394316,-0.781847
ACYP2,-0.11675,0.266608,-0.051812,-1.65567
ADA,1.13453,0.555191,0.261318,2.84609
ADAD1,1.07826,0.0499725,-0.063077,-2.07435
ADAD2,-0.292268,2.12183,0.755463,-2.17205
ADAL,0.00287647,-0.53827,-0.137488,0.685496
ADAM10,-1.9119,-5.56167,-2.3056,-0.846502
ADAM11,-0.164893,0.197202,-0.206134,-2.52668
ADAM12,-2.24506,-2.53435,-2.37897,-2.18004
ADAM15,0.281528,0.340991,0.461322,-1.14076
ADAM17,-0.520248,-0.982455,-0.468265,-0.0839961
ADAM18,0.270578,-0.727945,0.41618,-1.95006
ADAM19,-0.371686,-0.836115,-0.590961,1.3162
ADAM1B,-0.552167,-4.52791,-1.92378,-1.52823
ADAM2,-0.187115,-2.19532,-0.86199,-1.91932
ADAM20,-0.997898,-0.639816,-2.46305,-3.11975
ADAM21,-0.526202,-3.1303,-1.60421,-0.962819
ADAM22,-1.96352,-2.74831,-2.28114,-4.76122
ADAM23,-1.20836,-1.50525,-1.33153,-3.25446
ADAM28,0.0721268,0.201975,0.0558578,4.59595
ADAM29,0.288076,-2.38459,-1.19221,-2.61277
ADAM30,0,-0.30738,-0.123261,-0.437678
ADAM32,-0.273817,-1.55627,-0.354517,-0.132753
ADAM33,-0.241389,-1.25167,-0.624207,-1.61667
ADAM3A,-0.204374,1.4258,0.106078,-2.91114
ADAM7,-0.83883,-1.78346,-0.971139,-2.73282
ADAM8,0.372182,0.896849,0.313864,2.43929
ADAM9,-1.41568,-0.707489,-0.884282,0.620353
ADAMTS1,0.233021,-1.44183,0.2987,-0.365453
ADAMTS10,-0.141164,-0.359233,-0.165161,-0.146118
ADAMTS12,-1.63822,-3.61703,-2.34616,-3.57629
ADAMTS13,0.106805,1.1754,0.406312,-3.03247
ADAMTS14,0.883326,1.09609,0.429641,0.0818715
ADAMTS15,-0.955122,-0.891125,-0.136341,-2.15692
ADAMTS16,-1.28363,-2.90888,-1.17544,-1.65833
ADAMTS17,-0.116183,-0.347651,-0.431721,-1.43829
ADAMTS18,-0.821025,-2.34561,-2.12398,-2.10619
ADAMTS19,-0.339861,-1.04878,-0.555728,-2.7263
ADAMTS2,0.4547,-0.0404711,0.442488,-1.12111
ADAMTS20,-1.88668,-2.11921,-1.79437,-3.25936
ADAMTS3,-1.54757,-4.01044,-1.764,-1.41121
ADAMTS4,-0.840703,-2.35384,-1.98237,-2.4457
ADAMTS5,-1.15174,-2.6245,-2.05422,-3.46388
ADAMTS6,-0.762593,-2.66182,-0.980711,-0.166943
ADAMTS7,0.120025,-0.00206734,-0.0107566,-1.19332
ADAMTS8,-0.200748,0.593698,0.62505,-0.238058
ADAMTS9,-0.231974,-0.68937,0.724509,-0.150071
ADAMTSL1,-0.648771,-2.87137,-1.04696,-2.36803
ADAMTSL1-2,-1.41333,-4.47525,-2.18936,-3.14732
ADAMTSL2,0.186791,0.225352,0.430123,0.241706
ADAMTSL3,-1.34319,-2.72522,-1.94132,-2.82809
ADAMTSL4,0.749774,0.0399486,0.804125,-1.06395
ADAMTSL5,-0.199469,-0.3469,-0.026859,-0.534525
ADAP1,-0.210379,0.238392,0.00448488,-1.67936
ADAP2,-1.56477,-2.73267,-1.45156,0.0206074
ADAR,-0.299296,-0.854515,-0.292893,0.0723426
ADARB1,0.137392,-0.301456,0.135283,-1.54708
ADARB2,-0.138246,0.263485,-1.06055,-3.0613
ADAT1,-0.951475,-1.64987,-0.861116,0.0426032
ADAT2,-0.124661,-0.621064,0.106158,0.733457
ADAT3,-0.574979,-0.330296,-0.0810775,1.98357
ADC,-0.401888,0.045752,-0.0691394,-2.94176
ADCK1,-0.0535816,0.743737,0.686116,1.2045
ADCK2,0.376586,1.23215,0.665906,0.241664
ADCK3,0.162452,0.22008,0.168462,-0.756659
ADCK4,0.235057,0.352473,0.342888,1.19961
ADCK5,0.39685,1.28603,0.772702,1.12864
ADCY1,-2.55701,-2.21698,-2.39962,-4.19369
ADCY10,-0.130848,-2.24642,-0.884148,-2.01839
ADCY2,-0.342208,-0.695132,-0.0353194,-1.55244
ADCY3,-0.682177,-1.70706,-0.579893,-1.62482
ADCY4,0.204434,-0.856438,0.223719,0.419604
ADCY5,-0.423319,-0.249447,0.0196287,-1.96034
ADCY6,0.0439253,-0.663482,0.0478712,-0.310274
ADCY7,-0.570246,-1.02712,-0.784302,1.64714
ADCY8,-0.828614,-0.770308,-0.488233,-1.99885
ADCY9,-1.69753,-3.02292,-1.60528,-2.28561
ADCYAP1,-0.76414,-0.209348,-0.657612,-3.4602
ADCYAP1R1,-1.38313,-6.35505,-1.19157,-1.45952
ADD1,0.0460581,0.0956744,0.062858,-0.405971
ADD2,-0.935175,-1.2708,-1.17203,-3.81489
ADD3,-0.896307,-1.40602,-0.8849,-0.823036
ADGB,-0.806267,-1.47771,-0.797031,3.24699
ADH1C,0.0158953,-2.46433,-0.954939,0.635254
ADH4,0.342156,-1.66885,-0.0365444,-2.30199
ADH5,0.363543,0.115815,0.320111,-0.203208
ADH6,0.465711,-1.21951,0.0611402,-0.396945
ADH6-2,-0.856701,-1.30014,0.603548,-1.749
ADH7,-1.37634,-1.87295,-0.259574,0
ADHFE1,0.299495,-0.164083,0.10597,-0.569457
ADI1,1.0417,0.937102,0.773152,0.810307
ADIG,1.24591,1.88282,2.62741,2.81937
ADIPOQ,-0.404454,-1.48735,-0.546522,0.133062
ADIPOR1,0.267571,0.486278,0.347472,-0.237278
ADIPOR2,0.0469397,-0.378789,0.766963,0.651522
ADK,-0.0372431,-0.928356,-0.130311,-0.00612858
ADM,0.680167,0.221976,0.681529,1.91699
ADM2,-0.803303,-1.92044,0.0620862,3.65359
ADM5,0.233406,0.834165,0.0649274,3.29814
ADNP,-0.613616,-1.73249,-0.684109,0.199241
ADNP2,-0.895858,-1.78124,-0.917146,0.11598
ADO,-0.25673,-1.03998,-0.0571692,-0.644472
ADORA1,-0.450406,0.315794,-0.0826712,-2.48954
ADORA2A,0.82538,1.70358,1.3095,1.9817
ADORA2B,0.727153,0.405172,1.09855,1.86052
ADORA3,0.643676,-0.0952151,0.523378,0.454686
ADPGK,0.0202398,-0.253408,0.107416,-0.302354
ADPRH,-1.4565,-2.18489,-1.18423,0.124075
ADPRHL1,-0.0733872,0.808519,0.596154,-2.14034
ADPRHL2,0.638817,1.20717,0.721484,-0.102966
ADPRM,-0.256735,-0.76049,-0.124435,-0.235727
ADRA1A,-1.0629,-2.4438,-0.481589,-0.988147
ADRA1A-2,-0.60729,0,-0.379614,-0.400401
ADRA1B,0.426011,-2.2398,0.112404,-0.0215244
ADRA1D,-0.280753,-0.478549,1.71922,-0.529969
ADRA2A,-0.716,-1.49071,-0.878235,-0.638215
ADRA2B,-0.714154,-2.601,-0.726889,-2.12104
ADRA2C,0.81962,1.84069,1.07719,-2.81323
ADRB1,-0.584382,0,0.39823,1.5996
ADRB2,0.0156827,0.230777,1.73019,2.33976
ADRB3,0.390661,1.04392,3.31034,1.10138
ADRBK1,-0.0277539,-0.439655,0.0497359,1.02684
ADRBK2,-1.26256,-2.44962,-1.30013,0.422829
ADRM1,0.553919,1.62427,0.907486,0.15548
ADSL,0.484049,0.701256,0.952779,1.34816
ADSS,-0.792372,-0.953604,-0.851072,-0.229691
ADSSL1,0.194721,1.65219,0.807026,-0.929074
ADTRP,-0.0590724,-0.754466,-0.634595,0.712116
AEBP1,0.304084,0.630419,0.467341,-2.05566
AEBP2,-0.88247,-1.41199,-0.776754,0.544045
AEN,0.282106,0.0726377,0.577307,1.11415
AES,0.324905,0.482705,0.430867,-0.407357
AFAP1,0.143907,-0.385234,0.5401,0.250741
AFAP1-2,-0.962269,-2.58334,-0.972433,-0.252321
AFAP1L1,-0.494836,-0.868964,-0.478217,-1.17103
AFAP1L2,0.175314,-0.282552,0.347908,-1.05982
AFF1,-0.458014,-1.56783,0.610383,0.100319
AFF2,-0.862805,-1.25361,-0.650885,2.62573
AFF3,-0.946692,-1.63803,-1.11182,0.479511
AFF4,-1.45333,-1.89524,-1.41313,-0.601881
AFG3L2,0.081715,0.438676,0.160273,-0.616874
AFM,-0.266026,-0.77682,-0.319512,-1.99183
AFMID,-0.380551,-2.05997,-0.707601,0.0748314
AFP,0.466771,1.7412,0.824826,-1.78323
AFTPH,-0.828511,-1.07826,-0.924156,0.112933
AGA,-0.181631,-0.438288,0.0360314,-0.616979
AGAP2,-0.874807,-0.941744,-0.517114,1.58973
AGAP3,0.465444,1.24146,0.619474,-1.03245
AGBL2,-0.227797,-0.599649,-0.1207,0.486519
AGBL3,-0.897588,-2.18588,-1.42537,0.612406
AGBL4,-0.233471,-0.11196,-0.168883,-1.09121
AGBL5,0.126678,0.347808,0.112971,0.360153
AGER,0.727857,1.15439,0.784433,1.50818
AGFG1,-0.751087,-0.744359,-0.665525,0.17805
AGFG2,0.184359,0.506223,0.31417,-0.375354
AGGF1,-1.05847,-2.26097,-1.14718,-0.264406
AGK,-0.402667,-0.70598,-0.331761,-0.11708
AGL,-1.60714,-1.95733,-1.51239,-1.08903
AGMAT,0.326709,1.45481,1.71778,2.78674
AGMO,-0.381227,-1.93571,-0.495814,-2.03177
AGO3,-1.98331,-1.10368,-1.62531,-1.25152
AGO4,-0.687726,-1.79029,-0.31119,1.07703
AGPAT1,0.415907,0.719585,0.580251,-0.304884
AGPAT2,0.725133,1.10401,1.08313,1.13098
AGPAT3,-0.943766,-2.69972,-0.951911,-0.972536
AGPAT4,-0.11417,-0.912824,0.15656,-1.04793
AGPAT5,-0.687878,-1.83627,-0.867708,-0.879109
AGPAT6,0.421781,1.07182,0.654277,0.330911
AGPAT9,0.36135,-0.578686,-0.0752637,0.0593151
AGPHD1,0.0089832,-1.11784,-0.517613,-0.712851
AGPS,-1.30603,-1.99241,-1.24052,-0.679768
AGPS-2,-2.33247,-5.07605,-2.18784,-1.37918
AGR2,1.32883,0.0266359,1.91802,10.0415
AGR3,-0.55603,-2.39076,-0.523715,4.31843
AGRN,-0.278259,-0.227896,-0.221699,-1.54752
AGRP,0,-0.739139,-1.99759,-2.58754
AGT,-0.726832,-5.69714,-0.110125,-1.17595
AGTPBP1,-0.880101,-0.971672,-0.902792,-2.18392
AGTR1,-0.809251,-1.83287,-0.8519,-0.633842
AGTR2,0.307115,-1.47919,-0.244897,-0.974364
AGTRAP,0.627826,1.10194,1.11209,0.579427
AGXT,-0.0784652,0,-0.99524,-5.69934
AGXT2,-0.254134,0,-0.0885753,-1.96739
AGXT2L1,0.5205,-0.786673,-0.144465,-3.43718
AGXT2L2,0.0799056,0.376669,0.336964,-0.0692353
AHCTF1,-0.829214,-2.06177,-0.871078,0.388232
AHCY,0.530659,0.727774,0.734618,1.21738
AHCYL1,-0.289441,-1.28852,-0.239377,-0.378551
AHCYL2,-0.799534,-2.11583,-0.874307,-1.46136
AHDC1,-0.591511,-1.06009,-0.315486,-1.03624
AHI1,-0.86347,-1.93778,-1.10578,-0.887383
AHNAK,-0.240933,-1.40127,-0.500447,-1.27567
AHNAK2,-0.0101486,1.18179,0.143778,-3.1915
AHR,-1.75186,-4.56183,-2.57591,0.0267733
AHSA1,0.345773,0.726004,0.368199,-0.585914
AHSA2,0.0167715,-0.279132,-0.149073,-0.294936
AHSG,-0.389859,-7.66592,-0.845502,-1.58378
AHSP,1.02573,1.22234,0.39104,-0.138485
AICDA,-0.807413,-1.72821,0.258062,7.2184
AIDA,-0.747442,-2.65371,-1.23009,-0.783963
AIF1,1.02566,0.982677,1.48845,1.25135
AIF1L,0.33787,-0.938658,0.150008,-1.65024
AIFM1,0.523797,0.947586,0.869862,0.742215
AIFM2,0.332758,0.595682,0.470687,-1.582
AIFM3,-0.824635,-0.507761,0.370036,-1.779
AIG1,0.0786327,-1.08763,-0.0839495,-1.36306
AIG1-2,0.194629,0.0346248,0.0891742,-1.12997
AIM1,-0.204393,-0.900018,-0.0450525,1.22356
AIM2,0.673368,0,-1.66382,-2.0883
AIMP1,0.515086,0.179668,0.376191,0.373522
AIMP2,0.611299,1.29811,0.81362,0.645454
AIP,0.410336,1.62378,0.802082,-0.346928
AIPL1,-0.5146,-0.0859075,-0.166899,-2.53759
AIRE,1.3399,2.50278,3.07153,7.73416
AJAP1,-0.769932,-1.05676,-0.687911,-1.17965
AJUBA,-0.0483298,-0.855929,-1.07501,-1.11656
AK1,0.618295,1.72794,0.938112,-1.31635
AK2,0.567109,0.719326,0.742611,1.02011
AK3,-0.297684,-1.15793,-0.296977,-0.624784
AK4,-0.985874,-1.66115,-0.692805,-1.49939
AK5,-0.635935,-0.617723,-0.597345,-2.90856
AK7,-0.360407,-0.151816,-0.20293,2.9123
AK8,0.379073,1.09868,0.553597,0.80331
AKAP1,-0.306674,-0.689697,-0.213077,0.112634
AKAP10,-0.622141,-0.920681,-0.581113,-0.0452431
AKAP11,-1.26754,-1.83068,-1.3867,-0.946972
AKAP12,-0.730756,-0.933971,-1.01215,-3.04536
AKAP13,-0.518163,-1.47458,-0.185414,1.61351
AKAP14,0.396672,0.485124,0.359186,0.146442
AKAP17A,-0.680792,-1.67256,-0.300171,1.31934
AKAP2,-0.474435,-1.37535,0.154514,-0.234983
AKAP3,0.422152,-0.0906094,-1.00912,-1.65769
AKAP4,1.73142,-2.03879,0.560464,-1.17824
AKAP5,-1.28354,-2.90006,-1.72418,0.607873
AKAP6,-1.68943,-1.90262,-2.00369,-4.2254
AKAP7,-0.642686,-1.3834,-0.937222,-0.787448
AKAP8,-0.247457,-0.860433,0.044076,1.13255
AKAP8L,0.0036893,0.290314,0.244882,0.712131
AKAP9,-1.11399,-2.04603,-1.43091,-0.262791
AKD1,-0.269546,-0.822022,-0.818044,2.9133
AKIP1,0.250651,0.719079,0.434216,-0.336816
AKIRIN1,-0.510541,-1.09074,-0.513543,0.263863
AKIRIN2,0.030737,0.00520027,0.0973997,-0.115775
AKNA,-0.724759,-2.25914,-0.833231,2.67805
AKNAD1,-0.553611,-0.12219,-0.19093,-2.03696
AKR1A1,0.854862,1.31149,1.09491,1.26499
AKR1B1,0.778091,0.589834,0.706699,-0.704323
AKR1B10,-1.47383,1.51455,0.00719607,-0.837927
AKR1C3,-0.960038,-2.72046,-1.60118,-0.645471
AKR1C3-2,0.72777,0,0.344498,0.772129
AKR1C4,0.606079,-2.21045,0.634994,3.6724
AKR1D1,-0.278115,0.453591,0.0970009,-2.78951
AKR1E2,0.2216,0.520279,0.293177,0.288971
